Beta_Carot_(µg),Calcium_(mg),Carbohydrt_(g),Energ_Kcal,Fiber_TD_(g),Iron_(mg),Lipid_Tot_(g),Magnesium_(mg),Manganese_(mg),Protein_(g),Sodium_(mg),Vit_A_RAE,Vit_B12_(µg),Vit_B6_(mg),Vit_C_(mg),Vit_D_µg,Vit_E_(mg),Water_(g)
1.00000,-0.06135,-0.03157,-0.20646,0.16437,-0.11904,-0.15176,-0.05410,0.12215,-0.25636,-0.03355,0.13477,-0.19286,-0.17505,0.36988,-0.15173,0.01108,0.18103
0.00000,1.00000,0.38149,0.32975,0.28581,0.39216,0.13625,0.32786,0.40863,-0.09859,0.21064,0.10004,-0.12045,-0.20402,-0.09991,-0.15095,0.18965,-0.37776
0.00000,0.00000,1.00000,0.68798,0.46789,0.27111,0.12922,0.14992,0.50620,-0.45909,0.21225,-0.02499,-0.42836,-0.46407,-0.04323,-0.33820,0.19880,-0.84163
0.00000,0.00000,0.00000,1.00000,0.17325,0.51909,0.73461,0.33614,0.33462,0.14309,0.23917,0.08649,0.08372,-0.02327,-0.31505,-0.02143,0.43413,-0.95952
0.00000,0.00000,0.00000,0.00000,1.00000,0.32404,-0.07901,0.48170,0.63930,-0.36804,0.11905,-0.08117,-0.39833,-0.31698,0.26745,-0.29023,0.11083,-0.29127
0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.37806,0.53375,0.47100,0.33466,0.20252,-0.05483,0.24479,0.14380,-0.17219,-0.02219,0.31101,-0.50290
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.24102,0.08845,0.32077,0.17784,0.15358,0.33694,0.14735,-0.27726,0.19705,0.47641,-0.53717
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.49336,0.34456,0.08617,0.07611,0.13694,0.30493,-0.02354,0.04673,0.26134,-0.34347
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.29392,0.19278,-0.06422,-0.35271,-0.30776,0.11716,-0.27857,0.21066,-0.40965
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.03773,0.10047,0.71665,0.80430,-0.32989,0.42916,0.10663,-0.01938
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.11814,-0.11942,-0.12786,-0.11272,0.20828,0.19350,-0.26504
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.07726,0.06577,-0.05476,0.11699,0.10990,-0.05284
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.51217,-0.26652,0.34293,0.06087,0.05381
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.15931,0.47516,0.02193,0.11238
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.17744,-0.07049,0.26216
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.01491,0.10807
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.37120
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
