V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
1.00000,0.32938,0.99788,0.98734,0.16809,0.50513,0.67656,0.82317,0.14424,-0.31775,0.67871,-0.09635,0.67419,0.73585,-0.22243,0.20398,0.19310,0.37543,-0.10678,-0.04447,0.96996,0.30044,0.96623,0.94154,0.11739,0.41133,0.52545,0.74403,0.15988,0.00334
0.00000,1.00000,0.33592,0.32619,-0.01777,0.25204,0.31525,0.30559,0.08015,-0.06877,0.28761,0.38587,0.29522,0.27143,0.00586,0.19783,0.14656,0.16696,0.01339,0.05803,0.36196,0.91202,0.36957,0.35343,0.08271,0.29023,0.31112,0.30628,0.11626,0.12718
0.00000,0.00000,1.00000,0.98655,0.20450,0.55568,0.71566,0.85134,0.17910,-0.26810,0.69096,-0.08564,0.69269,0.74454,-0.20251,0.24853,0.22689,0.40647,-0.08442,-0.00757,0.96967,0.30701,0.97116,0.94173,0.14806,0.45330,0.56216,0.77078,0.18446,0.04691
0.00000,0.00000,0.00000,1.00000,0.17484,0.49798,0.68623,0.82425,0.14822,-0.28856,0.73288,-0.06537,0.72749,0.80083,-0.16655,0.21080,0.20668,0.37163,-0.07464,-0.02149,0.96332,0.29056,0.96044,0.95995,0.12154,0.38855,0.51139,0.72201,0.13986,0.00038
0.00000,0.00000,0.00000,0.00000,1.00000,0.65774,0.51900,0.55101,0.55526,0.58243,0.29686,0.07014,0.29096,0.24152,0.33370,0.31648,0.24705,0.37982,0.19826,0.28192,0.20902,0.03998,0.23409,0.20234,0.80467,0.46909,0.43173,0.50012,0.39016,0.49668
0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.88162,0.82905,0.59810,0.56016,0.49042,0.04996,0.54149,0.44797,0.13786,0.73928,0.57205,0.64484,0.22575,0.50728,0.53112,0.25888,0.58519,0.50461,0.56420,0.86410,0.81502,0.81381,0.50244,0.68496
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.92046,0.49553,0.32977,0.62761,0.07937,0.65586,0.61294,0.10019,0.66930,0.69251,0.68469,0.17393,0.44817,0.68583,0.30864,0.72670,0.67319,0.44615,0.75194,0.88318,0.85992,0.40178,0.51074
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.45717,0.15846,0.69466,0.02414,0.70701,0.68683,0.02877,0.48806,0.43862,0.61641,0.09085,0.25517,0.82919,0.30100,0.85447,0.80812,0.45015,0.66353,0.75017,0.90927,0.36801,0.36328
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.47530,0.29656,0.13086,0.30632,0.21637,0.18898,0.41897,0.34144,0.39257,0.44711,0.32991,0.17970,0.09653,0.21208,0.17072,0.42405,0.46783,0.42902,0.42515,0.69675,0.43416
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.00987,0.16722,0.02891,-0.10105,0.40465,0.55796,0.44596,0.34023,0.34238,0.68811,-0.26319,-0.04615,-0.21628,-0.24174,0.50276,0.45317,0.34072,0.16774,0.32674,0.76556
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.21697,0.97256,0.95130,0.16637,0.35276,0.33115,0.51346,0.23710,0.22517,0.71292,0.20219,0.71685,0.74951,0.13714,0.27884,0.37485,0.52631,0.08350,0.04143
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.22767,0.11470,0.39716,0.23343,0.19586,0.23109,0.41336,0.28091,-0.11019,0.40843,-0.10045,-0.08151,-0.07249,-0.09041,-0.06714,-0.11793,-0.12636,-0.04388
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.93697,0.15324,0.41331,0.36160,0.55713,0.26293,0.24150,0.69488,0.20897,0.71797,0.72845,0.12460,0.33323,0.41291,0.54988,0.09755,0.07657
