0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1.00000,0.01270,0.06249,-0.02693,-0.02685,-0.00382,-0.01755,-0.01978,0.01843,-0.01158,-0.02887,-0.01013,0.04748,-0.01159,-0.00874,-0.00270,0.17930,-0.01760,0.09452,-0.01998,0.05236,-0.01463,0.38526,-0.01100,-0.02140,-0.03037,-0.02494,0.01276,-0.01459,0.07552,-0.03253,-0.00878,-0.01804,0.04154,-0.00762,0.09253,-0.01144,-0.02707,-0.01753,-0.01259,-0.01986,-0.01660,-0.01272,0.13262,-0.00717,-0.02781,-0.02663,-0.00486,-0.01124,-0.00540,-0.04163,-0.02644,-0.02291,-0.01397,-0.01027,-0.01912,-0.03129,-0.01347,-0.00770,-0.01791,-0.01456,-0.02370,-0.02011,-0.00803,0.00397,-0.01068,-0.00210,-0.01507,-0.02744,-0.02040,0.00798,-0.01496,-0.03644,0.04953,-0.03095,-0.03211,-0.01389,0.02099,-0.01203,0.06223,0.07927,-0.01840,0.00902,0.24274,-0.02864,-0.01275,-0.00921,0.00701,-0.04306,-0.00790,0.00671,-0.01425,-0.01751,0.03279,0.14952,0.01167,0.04179,-0.02399,-0.01685,0.00103
0.00000,1.00000,-0.00489,-0.02606,-0.02569,-0.01784,-0.00405,-0.02055,-0.00943,-0.00668,-0.01384,0.02741,0.11084,0.01695,-0.00987,-0.01378,0.09774,-0.02060,-0.01913,0.05178,-0.00729,-0.03606,0.00272,-0.01661,-0.01460,-0.00613,-0.02560,0.00856,-0.01771,0.02903,-0.02844,-0.00229,-0.02053,0.01674,-0.01501,0.00383,-0.00503,0.03864,-0.02229,-0.01260,-0.02025,0.07282,-0.01317,0.10918,-0.01547,-0.02734,-0.01842,0.00024,-0.00060,-0.00098,-0.04058,-0.02232,-0.02356,-0.01268,-0.01383,-0.01864,-0.03286,-0.00091,0.07802,-0.02594,-0.00033,-0.02378,-0.02496,0.17548,-0.00366,-0.01455,0.02252,-0.01832,-0.01629,-0.02040,0.01187,-0.01807,-0.03779,0.04273,-0.02872,-0.02995,-0.01484,0.00642,0.10779,-0.00538,-0.01993,-0.01879,-0.02017,0.00665,-0.02903,-0.00054,0.01731,0.01730,-0.03970,-0.00013,0.19126,0.02721,-0.02016,0.00876,0.21610,0.01470,0.00204,-0.02421,-0.00142,-0.00362
0.00000,0.00000,1.00000,-0.04006,-0.01491,0.00368,0.18930,0.00096,-0.01812,-0.00279,-0.03592,-0.01885,0.07491,-0.01337,-0.02862,0.03423,0.04854,0.05037,-0.01470,0.01132,0.00972,-0.01883,0.01740,-0.03163,-0.03299,0.02800,-0.03729,0.06172,0.02660,0.01429,-0.01588,-0.03923,0.05696,-0.00240,0.16086,0.12464,0.08589,-0.03103,-0.00753,-0.01468,-0.00183,-0.00327,0.00545,0.01813,0.00349,-0.00297,-0.03632,-0.01836,-0.00792,-0.02097,-0.01040,-0.04046,-0.02410,0.01039,-0.01327,-0.02301,-0.01943,0.07685,-0.01160,0.00230,-0.02189,-0.03351,0.06426,-0.00345,0.14092,-0.03389,-0.02181,0.31820,-0.02202,-0.02048,0.00131,-0.01774,-0.05404,0.00414,0.01231,-0.04900,-0.02399,-0.00727,0.04954,0.00372,0.19922,-0.00108,-0.02412,0.00718,-0.04669,-0.00981,0.07544,0.23049,-0.05295,-0.01599,-0.01255,0.01423,-0.01124,-0.01523,0.04712,0.01002,-0.01350,0.00866,0.05487,-0.00410
0.00000,0.00000,0.00000,1.00000,-0.02457,-0.03473,-0.04662,0.04329,-0.03103,-0.01813,-0.07494,-0.01858,-0.04344,0.00397,-0.03126,-0.05898,-0.03847,-0.04108,0.19168,-0.05265,-0.02724,-0.08787,-0.03309,-0.03355,0.00208,-0.07255,-0.05269,-0.04750,0.07724,-0.05881,-0.06516,-0.06185,-0.04477,0.03679,-0.04146,-0.03878,0.00664,-0.06548,-0.04640,-0.02538,-0.04674,-0.03903,-0.03045,-0.03916,0.25067,-0.05434,-0.04430,-0.03886,-0.03290,-0.01728,0.08341,0.36722,-0.05121,-0.03364,-0.02812,-0.03781,-0.05785,-0.00323,-0.05903,0.01915,-0.00969,0.22448,-0.07355,-0.03550,-0.03348,-0.02680,-0.01532,0.08444,-0.03417,-0.03203,0.00132,-0.03232,-0.08093,-0.05152,-0.07383,-0.06819,0.02105,-0.01187,-0.05736,0.42938,-0.04207,0.01952,-0.06265,-0.03529,-0.06432,-0.03596,-0.05200,-0.03048,-0.07739,-0.02226,-0.03505,-0.02001,-0.03813,-0.02809,-0.08292,-0.02296,-0.03775,0.02073,-0.03765,-0.03807
0.00000,0.00000,0.00000,0.00000,1.00000,0.00010,-0.02954,-0.03405,-0.02324,-0.01711,-0.04323,-0.02707,-0.00550,-0.01909,-0.01672,-0.04076,-0.03132,-0.00369,0.03202,-0.02961,0.00228,-0.07157,-0.03149,-0.02203,0.02342,0.00567,-0.02754,0.00025,0.00972,-0.03273,-0.03319,-0.04591,-0.01321,-0.02448,0.00359,-0.02589,-0.01296,-0.04394,0.00852,0.02229,0.01488,0.00628,0.01661,0.06518,-0.03679,-0.00093,0.06299,-0.01706,-0.00266,0.02464,-0.07027,0.01007,-0.04374,0.02843,0.00105,0.02298,-0.01050,-0.01938,-0.03839,-0.01617,-0.01546,0.00381,-0.06041,0.04499,-0.02197,-0.03490,-0.01912,-0.00881,0.06606,0.09506,0.02814,-0.02131,-0.04577,-0.01747,-0.02896,0.02914,0.00933,0.03182,-0.02744,-0.03744,0.03348,-0.03586,-0.05121,-0.03136,-0.05153,0.03621,-0.04297,-0.01102,0.03815,-0.01861,-0.02392,-0.02102,0.01177,-0.01246,-0.03752,-0.01583,-0.03255,-0.04177,0.01401,0.01681
0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.01250,-0.01385,0.00328,-0.01314,-0.02691,-0.00888,-0.01040,-0.01410,-0.01827,0.02329,0.01950,0.09703,-0.02015,-0.00844,0.15407,0.08941,0.01198,-0.01514,-0.02692,-0.01502,-0.01802,-0.03112,-0.01143,-0.00370,-0.03959,0.02889,-0.00402,0.02980,-0.00108,-0.02086,-0.01297,0.03960,-0.00717,-0.00014,0.00507,-0.00692,-0.00000,-0.01294,-0.01240,-0.00341,-0.02013,-0.01683,-0.01960,-0.01465,-0.02308,-0.03503,0.00273,-0.01549,-0.01097,-0.01943,0.05367,-0.01014,-0.03057,-0.02269,0.01361,-0.00436,0.03156,-0.01614,0.02271,-0.02114,0.03061,0.00129,-0.02986,-0.02371,-0.01368,-0.00483,0.04916,0.04837,-0.05167,-0.00479,-0.00660,0.14869,-0.02776,-0.01821,-0.00062,-0.01733,0.00040,0.01478,-0.03099,-0.02424,0.04132,-0.00955,-0.05160,-0.00595,0.03704,0.02071,0.00366,-0.00119,0.08890,-0.01203,-0.01825,-0.00767,-0.01295,-0.01885
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.05941,0.00870,-0.00936,-0.02421,0.01220,0.02951,-0.01660,-0.01544,0.04950,-0.00770,-0.00246,-0.02397,0.03749,-0.02749,0.03365,-0.03854,0.02599,-0.03509,-0.01989,-0.00843,0.01884,-0.02320,0.11054,0.00532,0.03143,0.01329,-0.01738,0.03469,-0.00975,0.01675,0.00391,-0.02044,-0.00994,-0.01414,-0.00800,-0.01045,0.04912,-0.02169,-0.01616,-0.04185,0.01321,0.01218,-0.00847,-0.03844,-0.04386,-0.03009,0.01201,-0.01729,-0.01848,0.07826,0.00724,0.06102,-0.01266,-0.02173,-0.01899,0.01560,-0.02483,0.08458,-0.01687,0.03827,0.05214,-0.02519,-0.02699,-0.02049,0.05200,0.04274,0.03271,-0.00887,-0.00763,-0.01977,0.00049,-0.00636,-0.01812,0.07054,-0.01713,-0.02527,0.00507,-0.02453,0.01637,-0.00769,0.01529,-0.04598,-0.01098,0.00603,-0.02117,0.02648,-0.00799,0.01058,-0.01375,-0.02069,0.01003,0.03500,-0.00160
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.02288,-0.01646,-0.04544,0.00692,-0.02939,-0.01069,-0.00229,-0.02940,-0.01896,-0.02692,0.03164,-0.03726,-0.01847,-0.04924,-0.02658,-0.00310,-0.02581,-0.04785,-0.03485,-0.03325,-0.02126,0.18127,-0.04317,0.01816,0.00899,0.15915,0.00985,-0.01410,-0.01505,-0.04058,-0.01475,-0.01718,-0.03242,-0.02009,-0.01788,-0.02576,-0.02780,-0.03764,-0.03024,-0.02506,-0.01115,-0.00877,0.16205,0.01211,-0.02109,-0.02091,-0.01740,-0.00246,-0.01218,0.00748,-0.03878,0.05817,-0.01025,0.14002,-0.03776,-0.01837,-0.02447,0.01085,-0.02034,-0.00755,-0.03543,-0.01545,-0.01553,-0.02125,-0.03623,0.00083,0.01637,-0.04528,0.00410,-0.02416,-0.03724,-0.01189,-0.01825,0.00416,-0.02238,-0.02274,-0.04252,-0.02168,-0.03562,-0.02024,-0.04387,-0.01290,-0.02080,-0.01312,-0.02821,-0.00958,-0.05474,-0.00694,0.00264,0.00462,-0.01478,-0.02116
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.01221,0.02696,0.01746,-0.01339,-0.01354,-0.01669,0.01274,-0.01765,-0.01139,-0.01729,-0.01298,-0.00107,0.00177,-0.01365,-0.02147,-0.02201,-0.01347,0.01342,0.05575,0.06618,-0.00750,-0.02223,0.09389,0.01332,-0.01485,0.00291,-0.01746,0.00053,0.07744,-0.00444,-0.00756,-0.01916,-0.00662,-0.01034,-0.01975,-0.01566,0.02129,-0.01314,-0.01267,-0.01517,-0.01338,-0.04232,0.01898,0.04517,0.01676,-0.00899,-0.01896,0.00936,-0.01179,-0.01975,-0.02485,0.00394,-0.02860,-0.01306,-0.01440,0.00424,0.00247,0.06120,-0.02085,0.01006,-0.02197,-0.01508,0.04875,0.07656,0.00198,-0.03300,-0.02963,-0.01128,-0.00172,-0.03020,-0.01430,-0.02093,-0.00696,0.02092,0.00495,-0.03460,0.01978,0.12579,-0.01844,-0.03356,0.00696,0.03471,0.08749,-0.01357,-0.00309,-0.01178,-0.01119,-0.00330,-0.02772,-0.01429,-0.01807
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.01874,-0.01191,-0.01161,-0.00980,-0.01274,-0.00514,0.00361,-0.01324,-0.01362,-0.02330,0.06527,-0.03254,-0.02163,0.13512,-0.01375,0.00590,-0.02071,-0.01286,-0.00516,0.00624,0.01396,-0.02775,-0.01805,0.01290,-0.01267,0.00962,-0.00737,-0.01372,0.01826,-0.00991,-0.00508,0.00784,0.00373,-0.00871,-0.01582,-0.02080,-0.01167,-0.00979,0.10347,-0.01083,-0.02699,-0.02183,-0.01909,0.00371,-0.00958,0.05208,0.00527,-0.00357,-0.02183,-0.01762,-0.01100,-0.01686,0.00039,-0.00912,-0.00582,0.05977,-0.01092,-0.00480,0.06209,0.00674,0.00812,-0.01184,-0.03159,-0.02478,0.04759,-0.02641,-0.01183,-0.00904,-0.00549,-0.01204,0.14178,-0.00487,-0.00910,-0.01192,-0.02186,-0.01548,-0.01482,0.05879,-0.02781,-0.00854,-0.01199,-0.01362,-0.00619,0.19342,-0.02892,-0.00742,-0.00899,-0.01575,-0.00593,-0.00869
