Alcohol,malic_acid,ash,alcalinity_of_ash,magnesium, total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,Hue, OD280_OD315_of_diluted_wines,Proline
1,0.094397,0.21154,-0.31024,0.2708,0.2891,0.23681,-0.15593,0.1367,0.54636,-0.071747,0.072343,0.64372
0,1,0.16405,0.2885,-0.054575,-0.33517,-0.41101,0.29298,-0.22075,0.24899,-0.5613,-0.36871,-0.19201
0,0,1,0.44337,0.28659,0.12898,0.11508,0.18623,0.0096519,0.25889,-0.074667,0.0039112,0.22363
0,0,0,1,-0.083333,-0.32111,-0.35137,0.36192,-0.19733,0.018732,-0.27396,-0.27677,-0.4406
0,0,0,0,1,0.2144,0.19578,-0.25629,0.23644,0.19995,0.055398,0.066004,0.39335
0,0,0,0,0,1,0.86456,-0.44994,0.61241,-0.055136,0.43368,0.69995,0.49811
0,0,0,0,0,0,1,-0.5379,0.65269,-0.17238,0.54348,0.78719,0.49419
0,0,0,0,0,0,0,1,-0.36585,0.13906,-0.26264,-0.50327,-0.31139
0,0,0,0,0,0,0,0,1,-0.02525,0.29554,0.51907,0.33042
0,0,0,0,0,0,0,0,0,1,-0.52181,-0.42881,0.3161
0,0,0,0,0,0,0,0,0,0,1,0.56547,0.23618
0,0,0,0,0,0,0,0,0,0,0,1,0.31276
0,0,0,0,0,0,0,0,0,0,0,0,1
